宝贝ID,最低（售价）,最低（实付）
13039229118,119.0,0.0
8853555499,349.5,349.5
9988549379,349.5,0.0
10838935929,229.5,0.0
10478210479,399.5,0.0
8079674335,249.0,0.0
12740647228,120.6,0.0
12962510967,80.0,80.0
10839680633,329.5,44.61
13950496945,184.0,184.0
7821361219,128.0,47.76
13279123374,134.0,134.0
8858649661,229.5,41.83
13005861346,164.0,0.0
13864412624,80.0,0.0
13279011761,164.0,164.0
7647235885,192.6,0.0
13677511564,449.5,429.5
13272703141,379.0,0.0
8848177115,14.0,14.0
12987911594,134.0,134.0
10132505011,199.0,0.0
10056425353,449.5,0.0
13672516667,158.0,0.0
12734853641,100.0,300.0
13334459056,214.0,214.0
13177251301,124.0,124.0
8847668919,149.0,149.0
12676529193,72,0.0
8851012445,299.0,299.0
12749430960,298.0,298.0
13865228686,159.0,32.65
10580501917,248.0,248.0
9955010307,329.5,0.0
8859075865,433.0,433.0
13178455603,14.0,2.24
12818979632,80.0,0.0
13219467149,80.0,0.0
9917810319,164.0,164.0
7884140287,1899.0,1899.0
13001145571,399.0,399.0
9964102203,249.5,0.0
8006522649,98.0,0.0
12961010488,80.0,60.0
7715453463,14.0,2.24
13172349612,680.0,680.0
13352856316,449.5,449.5
9801686171,214.0,39.37
7931682495,79.0,0.0
13400976295,298.0,298.0
13046710481,109.0,109.0
12962269919,80.0,0.0
8047097899,100.0,0.0
13541137677,379,0.0
9959372317,299.0,47.88
13005809341,80.0,0.0
8861369987,299.0,9.5
13564093008,299.4,280.66
9910092977,199.0,199.0
10464237357,279.0,279.0
9801856321,164.0,164.0
14026811109,283.0,229.54
13333735135,279.5,279.5
14026355013,249.5,0.0
13563226519,249.5,0.0
8839870989,184.0,184.0
13563390189,599.0,479.2
7863083771,459.0,459.0
13000569111,461.0,461.0
7834207043,80.0,60.5
13558902261,559.0,447.2
9153892415,389.5,389.5
12818935599,80.0,0.0
15077152479,239.0,0.0
8862178737,299.0,51.73
12661514120,169.0,0.0
12930913446,99.0,20.22
13005697580,80.0,0.0
14109723545,459.0,376.38
14038687009,498.0,498.0
14828644402,699.0,699.0
13564761344,321.0,0.0
14026747126,459.0,321.3
13855080455,279.0,0.0
13650242868,335.4,34.62
10015271941,329.5,0.0
14661576077,898.0,0.0
14971124643,311.0,254.45
13593609207,559.0,391.3
9795423757,164.0,164.0
9956553343,249.5,249.5
9791718713,2489.0,2489.0
13612702117,459.0,321.3
10131689127,719.0,719.0
13029039276,399.0,0.0
10131534291,719.0,719.0
12661562424,80.0,0.0
15066160958,318.0,260.18
13563829160,659.0,461.3
15093368317,359.0,213.25
13279011129,164.0,0.0
7658311935,329.5,329.5
13756130137,599.0,479.2
13865068177,349.0,49.62
13850109219,573.18,349.5
12549250703,619.0,72.35
9969406793,49.0,0.0
13588409674,332.0,52.84
13757185807,390.0,0.0
8852160033,329.5,50.0
9795555955,164.0,164.0
7661863191,349.5,349.5
14295455094,799.0,655.18
7652256677,299.5,299.5
12457561884,459.0,321.3
14107819265,299.0,173.42
14282347006,559.0,332.61
12730316784,559.0,391.3
14626280403,459.0,321.3
12923596802,759.0,531.3
15148372152,399.0,279.3
12456733405,699.0,489.3
15148044800,359.0,251.3
14025427805,659.0,0.0
13850057799,699.0,339.5
13701670859,619.0,619.0
14606619407,298.0,208.6
13766237148,629.0,504.04
10839764995,449.5,429.5
8829929587,80.0,0.0
14654111453,461.2,50.0
14606899408,368.0,257.6
14970788298,699.0,699.0
12456110776,699.0,489.3
8051265103,80.0,80.0
15414332061,659.0,559.15
15145732580,299.0,209.3
14108859302,299.0,209.3
15591964106,459.0,93.0
13755918863,559.0,1118.0
15020508452,699.0,699.0
12456430785,559.0,391.3
12999874025,499.0,499.0
13328031106,80.0,0.0
14910252705,98.0,98.0
7649259109,80.0,0.0
15836744267,390.0,185
15592756506,399.0,58.17
13757445387,390.0,273.0
12911885673,50.0,50.0
9635753287,799.0,559.3
13864201438,248.0,173.6
10840639241,275.0,275.0
13843201758,499.0,55.39
16204364893,459.0,219.5
15004963956,349.0,0.0
10133185335,644.5,644.5
16532520111,699.0,58.35
14306005419,429.0,429.0
12414440786,699.0,489.3
13028535344,499.0,349.3
14282503550,459.0,0.0
12667207951,459.0,321.3
16063608764,459.0,0.0
15238955196,319.0,319.0
16903300920,99.0,89.0
16909900120,49.0,0.0
16897864115,78.0,0.0
14475457761,78.0,78.0
16907312971,49.0,0.0
16902880237,49.0,49.0
15911652373,368.0,257.6
8862935133,128.0,0.0
13724462293,540.0,435.37
14480013059,325.0,0.0
16483156543,619.0,508.46
13481764744,559.0,391.3
15245915630,99.0,0.0
16906520511,109.0,0.0
16902792358,68.0,0.0
14472426122,79.0,0.0
14295854269,391.0,317.16
14477146329,99.0,99.0
14479829660,99.0,0.0
9771084549,99.0,0.0
14476674560,94.0,0.0
12665387398,199.0,199.0
7862972863,459.0,459.0
16896676820,375.0,0.0
12373328594,699.0,62.03
15346767668,99.0,99.0
17098208342,699.0,699.0
16055272813,559.0,279.5
15592212013,599.0,491.18
15147792275,359.0,251.3
14978048316,619.0,619.0
14475101502,199.0,199.0
15248583779,99.0,99.0
9916509685,199.0,0.0
14230987895,298.0,298.0
16913880426,399.0,399.0
15016551998,399.0,399.0
14474870568,79.0,79.0
17055324724,159.0,0.0
17332740967,399.0,279.3
7661523871,299.5,299.5
12370720590,499.0,349.3
14561515076,350.0,350.0
15143079939,399.0,399.0
18541532654,265,0.0
15268678214,265,265
15077092235,499.0,349.3
18099280722,168,18.94
15916484623,428.0,299.6
7661195153,279.5,279.5
13986565203,368.0,257.6
14554935548,359.0,359.0
13997061732,428.0,428.0
14683250065,299.5,299.5
14071177826,559.0,458.38
13959170362,399.0,279.3
13756594205,699.0,573.18
12310755049,559.0,391.3
16531556913,391.0,330.84
10464714081,399.0,279.3
17099432386,619.0,61.27
14792727846,599.0,599.0
15587431782,399.0,399.0
16557815834,699,475.32
14069698976,559,279.5
14982822175,719,719
15395890257,328,328
15004783137,499,41.65
12373020110,619,433.3
14399742066,499.0,56.05
